"","Species.Soil.diff","Species.Soil.lwr","Species.Soil.upr","Species.Soil.p.adj"
"Sugarcane:ProMix55BK-Indiangrass:ProMix55BK",8.05399999999997,-4.14321328947292,20.2512132894729,0.512254066883463
"Wiregrass:ProMix55BK-Indiangrass:ProMix55BK",-0.939000000000002,-13.1362132894729,11.2582132894729,0.999999995838574
"Indiangrass:NativeMix-Indiangrass:ProMix55BK",0.909999999999998,-11.2872132894729,13.1072132894729,0.999999997036668
"Sugarcane:NativeMix-Indiangrass:ProMix55BK",10.894,-1.3032132894729,23.0912132894729,0.120987735080715
"Wiregrass:NativeMix-Indiangrass:ProMix55BK",-1.034,-13.2312132894729,11.1632132894729,0.999999988217202
"Indiangrass:GardenMix-Indiangrass:ProMix55BK",4.448,-7.74921328947289,16.6452132894729,0.981233637344264
"Sugarcane:GardenMix-Indiangrass:ProMix55BK",12.562,0.364786710527094,24.7592132894729,0.0382909810950747
"Wiregrass:GardenMix-Indiangrass:ProMix55BK",-0.824000000000003,-13.0212132894729,11.3732132894729,0.999999998990251
"Indiangrass:ProMixBx-Indiangrass:ProMix55BK",4.472,-7.72521328947289,16.6692132894729,0.980455092376238
"Sugarcane:ProMixBx-Indiangrass:ProMix55BK",28.216,16.0187867105271,40.4132132894729,1.71877936328002e-08
"Wiregrass:ProMixBx-Indiangrass:ProMix55BK",-0.747000000000005,-12.9442132894729,11.4502132894729,0.999999999652504
"Wiregrass:ProMix55BK-Sugarcane:ProMix55BK",-8.99299999999997,-21.1902132894729,3.20421328947291,0.34610923918097
"Indiangrass:NativeMix-Sugarcane:ProMix55BK",-7.14399999999997,-19.3412132894729,5.05321328947291,0.683853222250046
"Sugarcane:NativeMix-Sugarcane:ProMix55BK",2.84000000000002,-9.35721328947287,15.0372132894729,0.999606257518048
"Wiregrass:NativeMix-Sugarcane:ProMix55BK",-9.08799999999997,-21.2852132894729,3.10921328947292,0.330977424452514
"Indiangrass:GardenMix-Sugarcane:ProMix55BK",-3.60599999999997,-15.8032132894729,8.59121328947291,0.996580249810773
"Sugarcane:GardenMix-Sugarcane:ProMix55BK",4.50800000000001,-7.68921328947288,16.7052132894729,0.979241142063685
"Wiregrass:GardenMix-Sugarcane:ProMix55BK",-8.87799999999998,-21.0752132894729,3.31921328947291,0.364916267572233
"Indiangrass:ProMixBx-Sugarcane:ProMix55BK",-3.58199999999998,-15.7792132894729,8.61521328947291,0.996771526510379
"Sugarcane:ProMixBx-Sugarcane:ProMix55BK",20.162,7.96478671052713,32.3592132894729,4.6782851977345e-05
"Wiregrass:ProMixBx-Sugarcane:ProMix55BK",-8.80099999999998,-20.9982132894729,3.39621328947291,0.377795379946089
"Indiangrass:NativeMix-Wiregrass:ProMix55BK",1.849,-10.3482132894729,14.0462132894729,0.999994455695344
"Sugarcane:NativeMix-Wiregrass:ProMix55BK",11.833,-0.364213289472897,24.0302132894729,0.0647401142849322
"Wiregrass:NativeMix-Wiregrass:ProMix55BK",-0.0949999999999986,-12.2922132894729,12.1022132894729,1
"Indiangrass:GardenMix-Wiregrass:ProMix55BK",5.387,-6.81021328947289,17.5842132894729,0.928547020477969
"Sugarcane:GardenMix-Wiregrass:ProMix55BK",13.501,1.3037867105271,25.6982132894729,0.0186312785291661
"Wiregrass:GardenMix-Wiregrass:ProMix55BK",0.114999999999999,-12.0822132894729,12.3122132894729,1
"Indiangrass:ProMixBx-Wiregrass:ProMix55BK",5.411,-6.78621328947289,17.6082132894729,0.926507460679134
"Sugarcane:ProMixBx-Wiregrass:ProMix55BK",29.155,16.9577867105271,41.3522132894729,6.88264345516387e-09
"Wiregrass:ProMixBx-Wiregrass:ProMix55BK",0.191999999999997,-12.0052132894729,12.3892132894729,1
"Sugarcane:NativeMix-Indiangrass:NativeMix",9.98399999999999,-2.2132132894729,22.1812132894729,0.208142877707816
"Wiregrass:NativeMix-Indiangrass:NativeMix",-1.944,-14.1412132894729,10.2532132894729,0.99999072181263
"Indiangrass:GardenMix-Indiangrass:NativeMix",3.538,-8.65921328947289,15.7352132894729,0.997099199057035
"Sugarcane:GardenMix-Indiangrass:NativeMix",11.652,-0.545213289472905,23.8492132894729,0.073378306388997
"Wiregrass:GardenMix-Indiangrass:NativeMix",-1.734,-13.9312132894729,10.4632132894729,0.999997148037986
"Indiangrass:ProMixBx-Indiangrass:NativeMix",3.562,-8.63521328947289,15.7592132894729,0.996924076545942
"Sugarcane:ProMixBx-Indiangrass:NativeMix",27.306,15.1087867105271,39.5032132894729,4.18995613760131e-08
"Wiregrass:ProMixBx-Indiangrass:NativeMix",-1.657,-13.8542132894729,10.5402132894729,0.99999822321502
"Wiregrass:NativeMix-Sugarcane:NativeMix",-11.928,-24.1252132894729,0.2692132894729,0.0605696795091449
"Indiangrass:GardenMix-Sugarcane:NativeMix",-6.44599999999999,-18.6432132894729,5.7512132894729,0.802037007945549
"Sugarcane:GardenMix-Sugarcane:NativeMix",1.66799999999999,-10.5292132894729,13.8652132894729,0.999998096146833
"Wiregrass:GardenMix-Sugarcane:NativeMix",-11.718,-23.9152132894729,0.479213289472897,0.0701199110856829
"Indiangrass:ProMixBx-Sugarcane:NativeMix",-6.42199999999999,-18.6192132894729,5.7752132894729,0.805689509829811
"Sugarcane:ProMixBx-Sugarcane:NativeMix",17.322,5.12478671052711,29.5192132894729,0.000686896334549547
"Wiregrass:ProMixBx-Sugarcane:NativeMix",-11.641,-23.8382132894729,0.556213289472895,0.0739338320210098
"Indiangrass:GardenMix-Wiregrass:NativeMix",5.482,-6.71521328947289,17.6792132894729,0.920249113894299
"Sugarcane:GardenMix-Wiregrass:NativeMix",13.596,1.39878671052709,25.7932132894729,0.017278873285839
"Wiregrass:GardenMix-Wiregrass:NativeMix",0.209999999999998,-11.9872132894729,12.4072132894729,1
"Indiangrass:ProMixBx-Wiregrass:NativeMix",5.506,-6.69121328947289,17.7032132894729,0.918057222991031
"Sugarcane:ProMixBx-Wiregrass:NativeMix",29.25,17.0527867105271,41.4472132894729,6.27565366340121e-09
"Wiregrass:ProMixBx-Wiregrass:NativeMix",0.286999999999996,-11.9102132894729,12.4842132894729,1
"Sugarcane:GardenMix-Indiangrass:GardenMix",8.11399999999998,-4.0832132894729,20.3112132894729,0.500977338479973
"Wiregrass:GardenMix-Indiangrass:GardenMix",-5.272,-17.4692132894729,6.92521328947289,0.937794451800484
"Indiangrass:ProMixBx-Indiangrass:GardenMix",0.0239999999999965,-12.1732132894729,12.2212132894729,1
"Sugarcane:ProMixBx-Indiangrass:GardenMix",23.768,11.5707867105271,35.9652132894729,1.36939186479168e-06
"Wiregrass:ProMixBx-Indiangrass:GardenMix",-5.195,-17.3922132894729,7.00221328947288,0.943508288217956
"Wiregrass:GardenMix-Sugarcane:GardenMix",-13.386,-25.5832132894729,-1.1887867105271,0.0203989866450615
"Indiangrass:ProMixBx-Sugarcane:GardenMix",-8.08999999999999,-20.2872132894729,4.1072132894729,0.505481639058026
"Sugarcane:ProMixBx-Sugarcane:GardenMix",15.654,3.45678671052712,27.8512132894729,0.00307862386640323
"Wiregrass:ProMixBx-Sugarcane:GardenMix",-13.309,-25.5062132894729,-1.1117867105271,0.02166756582512
"Indiangrass:ProMixBx-Wiregrass:GardenMix",5.296,-6.90121328947289,17.4932132894729,0.9359357511836
"Sugarcane:ProMixBx-Wiregrass:GardenMix",29.04,16.8427867105271,41.2372132894729,7.69701435920922e-09
"Wiregrass:ProMixBx-Wiregrass:GardenMix",0.076999999999998,-12.1202132894729,12.2742132894729,1
"Sugarcane:ProMixBx-Indiangrass:ProMixBx",23.744,11.5467867105271,35.9412132894729,1.40220661526413e-06
"Wiregrass:ProMixBx-Indiangrass:ProMixBx",-5.219,-17.4162132894729,6.97821328947289,0.941767869923757
"Wiregrass:ProMixBx-Sugarcane:ProMixBx",-28.963,-41.1602132894729,-16.7657867105271,8.29581159322856e-09
